[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 082 |  90.5s | train loss 0.1013 AP 0.8554 | val loss 0.2061 AP 0.7112 | test loss 0.2148 AP 0.6956 | best val 0.7112 (epoch 82, test 0.6955513481783862)
epoch 083 |  90.3s | train loss 0.1015 AP 0.8590 | val loss 0.2203 AP 0.7085 | test loss 0.2391 AP 0.6886 | best val 0.7112 (epoch 82, test 0.6955513481783862)
epoch 084 |  90.7s | train loss 0.1000 AP 0.8607 | val loss 0.2171 AP 0.7023 | test loss 0.2236 AP 0.6851 | best val 0.7112 (epoch 82, test 0.6955513481783862)
epoch 085 |  90.8s | train loss 0.0986 AP 0.8670 | val loss 0.2120 AP 0.6949 | test loss 0.2233 AP 0.6827 | best val 0.7112 (epoch 82, test 0.6955513481783862)
epoch 086 |  91.8s | train loss 0.0979 AP 0.8640 | val loss 0.2079 AP 0.7067 | test loss 0.2210 AP 0.6937 | best val 0.7112 (epoch 82, test 0.6955513481783862)
epoch 087 |  89.5s | train loss 0.0952 AP 0.8696 | val loss 0.2058 AP 0.7125 | test loss 0.2147 AP 0.7005 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 088 |  90.5s | train loss 0.0940 AP 0.8686 | val loss 0.2309 AP 0.7023 | test loss 0.2374 AP 0.6960 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 089 |  88.1s | train loss 0.0923 AP 0.8822 | val loss 0.2092 AP 0.7008 | test loss 0.2174 AP 0.6905 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 090 |  87.7s | train loss 0.0919 AP 0.8773 | val loss 0.2266 AP 0.7029 | test loss 0.2347 AP 0.6887 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 091 |  89.2s | train loss 0.0913 AP 0.8748 | val loss 0.2296 AP 0.7012 | test loss 0.2366 AP 0.6891 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 092 |  91.4s | train loss 0.0901 AP 0.8812 | val loss 0.2312 AP 0.7082 | test loss 0.2346 AP 0.7004 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 093 | 109.4s | train loss 0.0897 AP 0.8804 | val loss 0.2412 AP 0.7086 | test loss 0.2505 AP 0.6877 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 094 | 117.0s | train loss 0.0898 AP 0.8843 | val loss 0.2450 AP 0.7023 | test loss 0.2518 AP 0.6878 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 095 | 117.7s | train loss 0.0865 AP 0.8890 | val loss 0.2312 AP 0.7015 | test loss 0.2412 AP 0.6884 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 096 | 113.3s | train loss 0.0876 AP 0.8851 | val loss 0.2214 AP 0.7111 | test loss 0.2301 AP 0.7000 | best val 0.7125 (epoch 87, test 0.7005423543632575)
epoch 097 | 112.8s | train loss 0.0847 AP 0.8894 | val loss 0.2227 AP 0.7094 | test loss 0.2343 AP 0.6970 | best val 0.7125 (epoch 87, test 0.7005423543632575)
