{'dataset': 'Peptides-func', 'max_hops': 40, 'use_lap_pe': True, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-07, 'weight_decay': 0.0003, 'batch_size': 32, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_func_best_lape', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[Peptides-func] task=multi_label level=graph metric=macro_ap (higher_is_better=True)
  Loading cached distance masks from ./data/Peptides-func/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-func/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 070 | 132.3s | train loss 0.0734 AP 0.9097 | val loss 0.2798 AP 0.6895 | test loss 0.2835 AP 0.6817 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 071 | 128.7s | train loss 0.0755 AP 0.9055 | val loss 0.2582 AP 0.6945 | test loss 0.2687 AP 0.6844 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 072 | 127.3s | train loss 0.0733 AP 0.9047 | val loss 0.2987 AP 0.6972 | test loss 0.3015 AP 0.6878 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 073 | 126.7s | train loss 0.0717 AP 0.9120 | val loss 0.2920 AP 0.6893 | test loss 0.2910 AP 0.6783 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 074 | 126.7s | train loss 0.0691 AP 0.9155 | val loss 0.2770 AP 0.6899 | test loss 0.2864 AP 0.6806 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 075 | 125.5s | train loss 0.0709 AP 0.9151 | val loss 0.2723 AP 0.7036 | test loss 0.2880 AP 0.6916 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 076 | 127.5s | train loss 0.0666 AP 0.9205 | val loss 0.2926 AP 0.7046 | test loss 0.3131 AP 0.6929 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 077 | 127.8s | train loss 0.0694 AP 0.9182 | val loss 0.2960 AP 0.6837 | test loss 0.3013 AP 0.6838 | best val 0.7069 (epoch 63, test 0.690572582060942)
epoch 078 | 128.9s | train loss 0.0668 AP 0.9220 | val loss 0.2617 AP 0.7089 | test loss 0.2788 AP 0.6983 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 079 | 127.5s | train loss 0.0646 AP 0.9249 | val loss 0.2956 AP 0.6949 | test loss 0.3101 AP 0.6950 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 080 | 127.5s | train loss 0.0622 AP 0.9303 | val loss 0.3221 AP 0.6943 | test loss 0.3320 AP 0.6963 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 081 | 128.6s | train loss 0.0627 AP 0.9289 | val loss 0.2995 AP 0.6874 | test loss 0.3103 AP 0.6820 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 082 | 128.3s | train loss 0.0633 AP 0.9263 | val loss 0.2962 AP 0.6964 | test loss 0.3045 AP 0.6955 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 083 | 128.3s | train loss 0.0618 AP 0.9309 | val loss 0.3126 AP 0.6881 | test loss 0.3187 AP 0.6886 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 084 | 128.0s | train loss 0.0619 AP 0.9312 | val loss 0.3223 AP 0.6956 | test loss 0.3377 AP 0.6992 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 085 | 128.7s | train loss 0.0588 AP 0.9376 | val loss 0.3157 AP 0.6957 | test loss 0.3230 AP 0.7036 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 086 | 127.9s | train loss 0.0587 AP 0.9388 | val loss 0.3081 AP 0.6987 | test loss 0.3216 AP 0.6916 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 087 | 127.6s | train loss 0.0577 AP 0.9376 | val loss 0.3068 AP 0.6967 | test loss 0.3235 AP 0.6971 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 088 | 127.5s | train loss 0.0565 AP 0.9402 | val loss 0.3082 AP 0.7010 | test loss 0.3164 AP 0.6945 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 089 | 125.7s | train loss 0.0562 AP 0.9401 | val loss 0.3171 AP 0.6912 | test loss 0.3275 AP 0.6883 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 090 | 126.0s | train loss 0.0543 AP 0.9462 | val loss 0.3109 AP 0.7002 | test loss 0.3254 AP 0.6952 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 091 | 126.1s | train loss 0.0544 AP 0.9435 | val loss 0.3289 AP 0.6948 | test loss 0.3444 AP 0.6914 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 092 | 125.6s | train loss 0.0535 AP 0.9434 | val loss 0.3219 AP 0.6908 | test loss 0.3244 AP 0.6974 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 093 | 126.3s | train loss 0.0527 AP 0.9484 | val loss 0.2890 AP 0.6845 | test loss 0.2893 AP 0.6949 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 094 | 125.8s | train loss 0.0511 AP 0.9509 | val loss 0.3470 AP 0.6747 | test loss 0.3614 AP 0.6818 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 095 | 124.6s | train loss 0.0515 AP 0.9495 | val loss 0.3148 AP 0.6846 | test loss 0.3164 AP 0.6918 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 096 | 126.5s | train loss 0.0500 AP 0.9525 | val loss 0.3168 AP 0.6828 | test loss 0.3229 AP 0.6832 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 097 | 130.1s | train loss 0.0494 AP 0.9529 | val loss 0.3370 AP 0.6808 | test loss 0.3318 AP 0.6894 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 098 | 130.3s | train loss 0.0505 AP 0.9506 | val loss 0.3672 AP 0.6834 | test loss 0.3794 AP 0.6900 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 099 | 130.5s | train loss 0.0486 AP 0.9550 | val loss 0.3375 AP 0.6847 | test loss 0.3328 AP 0.6943 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 100 | 127.6s | train loss 0.0480 AP 0.9530 | val loss 0.3625 AP 0.6857 | test loss 0.3783 AP 0.6930 | best val 0.7089 (epoch 78, test 0.6983092699650434)
epoch 101 | 127.8s | train loss 0.0475 AP 0.9534 | val loss 0.3575 AP 0.6899 | test loss 0.3630 AP 0.6920 | best val 0.7089 (epoch 78, test 0.6983092699650434)
