[Peptides-struct] task=regression level=graph metric=mae (higher_is_better=False)
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/train.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/val.pkl
  Loading cached distance masks from ./data/Peptides-struct/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 063 |  90.6s | train loss 0.2642 MAE 0.2642 | val loss 0.2582 MAE 0.2581 | test loss 0.2642 MAE 0.2641 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 064 |  89.8s | train loss 0.2627 MAE 0.2627 | val loss 0.2599 MAE 0.2597 | test loss 0.2638 MAE 0.2637 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 065 |  88.1s | train loss 0.2601 MAE 0.2601 | val loss 0.2569 MAE 0.2568 | test loss 0.2608 MAE 0.2606 | best val 0.2541 (epoch 59, test 0.25850822246809946)
epoch 066 |  89.6s | train loss 0.2596 MAE 0.2596 | val loss 0.2533 MAE 0.2531 | test loss 0.2611 MAE 0.2610 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 067 |  89.5s | train loss 0.2601 MAE 0.2601 | val loss 0.2643 MAE 0.2642 | test loss 0.2698 MAE 0.2697 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 068 |  90.9s | train loss 0.2605 MAE 0.2605 | val loss 0.2577 MAE 0.2575 | test loss 0.2627 MAE 0.2625 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 069 |  92.0s | train loss 0.2595 MAE 0.2595 | val loss 0.2624 MAE 0.2623 | test loss 0.2667 MAE 0.2666 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 070 |  87.8s | train loss 0.2592 MAE 0.2592 | val loss 0.2681 MAE 0.2680 | test loss 0.2737 MAE 0.2736 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 071 |  87.7s | train loss 0.2605 MAE 0.2605 | val loss 0.2548 MAE 0.2546 | test loss 0.2582 MAE 0.2581 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 072 |  88.4s | train loss 0.2571 MAE 0.2571 | val loss 0.2577 MAE 0.2576 | test loss 0.2624 MAE 0.2623 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 073 |  90.0s | train loss 0.2568 MAE 0.2568 | val loss 0.2563 MAE 0.2561 | test loss 0.2611 MAE 0.2609 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 074 |  91.0s | train loss 0.2580 MAE 0.2580 | val loss 0.2567 MAE 0.2566 | test loss 0.2587 MAE 0.2585 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 075 |  90.3s | train loss 0.2563 MAE 0.2564 | val loss 0.2565 MAE 0.2563 | test loss 0.2603 MAE 0.2602 | best val 0.2531 (epoch 66, test 0.26098531679064935)
epoch 076 |  90.5s | train loss 0.2558 MAE 0.2558 | val loss 0.2517 MAE 0.2516 | test loss 0.2579 MAE 0.2578 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 077 |  90.4s | train loss 0.2557 MAE 0.2557 | val loss 0.2644 MAE 0.2643 | test loss 0.2708 MAE 0.2706 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 078 |  90.2s | train loss 0.2578 MAE 0.2578 | val loss 0.2603 MAE 0.2602 | test loss 0.2615 MAE 0.2614 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 079 |  90.3s | train loss 0.2549 MAE 0.2548 | val loss 0.2558 MAE 0.2556 | test loss 0.2595 MAE 0.2594 | best val 0.2516 (epoch 76, test 0.2577779814817779)
epoch 080 |  91.2s | train loss 0.2543 MAE 0.2544 | val loss 0.2534 MAE 0.2533 | test loss 0.2550 MAE 0.2549 | best val 0.2516 (epoch 76, test 0.2577779814817779)
