{'dataset': 'PascalVOC-SP', 'max_hops': 40, 'use_lap_pe': False, 'lap_pe_dim': 8, 'hidden_dim': 320, 'num_heads': 40, 'ffn_ratio': 4, 'num_layers': 1, 'dropout': 0.2, 'graph_pool': 'sum', 'hop_mode': 'single', 'hop_window': 0, 'num_global_heads': 1, 'lr': 0.001, 'lr_min': 1e-06, 'weight_decay': 0.0003, 'batch_size': 128, 'max_epochs': 200, 'patience': 40, 'reduce_lr_patience': 10, 'warmup_ratio': 0.05, 'grad_clip': 1.0, 'num_workers': 4, 'dist_mask_workers': 8, 'device': None, 'save_dir': 'checkpoints_hop_masked_pascal_func_best', 'seed': 0, 'checkpoint': None}
Unknown args =  []
[PascalVOC-SP] task=multiclass level=node metric=node_f1_macro (higher_is_better=True)
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/train.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/val.pkl
  Loading cached distance masks from ./data/PascalVOC-SP/dist_masks/test.pkl
Head -> hop set assignment:
  head 0: [0, 1]
epoch 095 | 217.5s | train loss 1.0853 F1 0.1156 | val loss 1.1393 F1 0.1032 | test loss 1.0979 F1 0.1068 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 096 | 214.2s | train loss 1.0812 F1 0.1155 | val loss 1.1387 F1 0.1013 | test loss 1.0923 F1 0.1025 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 097 | 215.0s | train loss 1.0802 F1 0.1161 | val loss 1.1429 F1 0.0914 | test loss 1.0950 F1 0.0919 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 098 | 216.8s | train loss 1.0808 F1 0.1176 | val loss 1.1327 F1 0.1095 | test loss 1.0928 F1 0.1108 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 099 | 216.8s | train loss 1.0772 F1 0.1187 | val loss 1.1305 F1 0.1049 | test loss 1.0844 F1 0.1112 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 100 | 214.2s | train loss 1.0730 F1 0.1208 | val loss 1.1322 F1 0.1086 | test loss 1.0854 F1 0.1094 | best val 0.1138 (epoch 91, test 0.11606966385927836)
epoch 101 | 215.6s | train loss 1.0762 F1 0.1198 | val loss 1.1329 F1 0.1191 | test loss 1.0894 F1 0.1267 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 102 | 213.1s | train loss 1.0710 F1 0.1237 | val loss 1.1300 F1 0.1032 | test loss 1.0843 F1 0.1060 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 103 | 213.1s | train loss 1.0732 F1 0.1214 | val loss 1.1354 F1 0.1117 | test loss 1.0866 F1 0.1171 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 104 | 213.0s | train loss 1.0674 F1 0.1284 | val loss 1.1336 F1 0.1121 | test loss 1.0897 F1 0.1165 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 105 | 214.3s | train loss 1.0659 F1 0.1259 | val loss 1.1421 F1 0.1054 | test loss 1.0933 F1 0.1098 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 106 | 211.4s | train loss 1.0661 F1 0.1273 | val loss 1.1318 F1 0.1128 | test loss 1.0858 F1 0.1170 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 107 | 211.4s | train loss 1.0650 F1 0.1281 | val loss 1.1280 F1 0.1067 | test loss 1.0821 F1 0.1109 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 108 | 215.3s | train loss 1.0627 F1 0.1305 | val loss 1.1386 F1 0.1093 | test loss 1.0922 F1 0.1143 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 109 | 214.9s | train loss 1.0595 F1 0.1335 | val loss 1.1353 F1 0.1051 | test loss 1.0876 F1 0.1101 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 110 | 212.5s | train loss 1.0609 F1 0.1320 | val loss 1.1289 F1 0.1156 | test loss 1.0805 F1 0.1210 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 111 | 213.1s | train loss 1.0598 F1 0.1309 | val loss 1.1256 F1 0.1167 | test loss 1.0817 F1 0.1222 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 112 | 215.2s | train loss 1.0588 F1 0.1347 | val loss 1.1215 F1 0.1110 | test loss 1.0772 F1 0.1165 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 113 | 215.7s | train loss 1.0539 F1 0.1369 | val loss 1.1242 F1 0.1181 | test loss 1.0748 F1 0.1244 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 114 | 215.0s | train loss 1.0501 F1 0.1399 | val loss 1.1261 F1 0.1172 | test loss 1.0839 F1 0.1217 | best val 0.1191 (epoch 101, test 0.12668202372896176)
epoch 115 | 214.5s | train loss 1.0508 F1 0.1388 | val loss 1.1270 F1 0.1280 | test loss 1.0856 F1 0.1327 | best val 0.1280 (epoch 115, test 0.13272541955715025)
epoch 116 | 214.5s | train loss 1.0501 F1 0.1411 | val loss 1.1270 F1 0.1188 | test loss 1.0785 F1 0.1250 | best val 0.1280 (epoch 115, test 0.13272541955715025)
epoch 117 | 213.5s | train loss 1.0469 F1 0.1418 | val loss 1.1249 F1 0.1278 | test loss 1.0807 F1 0.1337 | best val 0.1280 (epoch 115, test 0.13272541955715025)
epoch 118 | 212.4s | train loss 1.0442 F1 0.1452 | val loss 1.1229 F1 0.1279 | test loss 1.0731 F1 0.1351 | best val 0.1280 (epoch 115, test 0.13272541955715025)
epoch 119 | 215.2s | train loss 1.0384 F1 0.1469 | val loss 1.1093 F1 0.1247 | test loss 1.0668 F1 0.1307 | best val 0.1280 (epoch 115, test 0.13272541955715025)
